date,Pollution,Food
8/27/2001,10304,1270
8/28/2001,14216,1188
8/29/2001,13070,1422
8/30/2001,13930,1666
8/31/2001,12667,1565
9/1/2001,14094,1842
9/2/2001,13178,1851
9/3/2001,12854,1859
9/4/2001,11317,1417
9/5/2001,10972,1659
9/6/2001,11972,1789
9/7/2001,12490,1815
9/8/2001,12268,1807
9/9/2001,12027,1789
9/10/2001,12886,1773
9/11/2001,4683,289
9/12/2001,1924,119
9/13/2001,1399,37
9/14/2001,12213,1509
9/15/2001,13900,1246
9/16/2001,13223,1207
9/17/2001,14465,1065
9/18/2001,14372,1128
9/19/2001,14762,1339
9/20/2001,14454,1481
9/21/2001,14061,1609
9/22/2001,13639,1695
9/23/2001,13269,1720
9/24/2001,12922,1702
9/25/2001,12586,1646
9/26/2001,12068,1569
9/27/2001,13097,1571
9/28/2001,12063,1554
9/29/2001,12058,1525
9/30/2001,11856,1511
10/1/2001,11963,1528
10/2/2001,12056,1558
10/3/2001,12023,1570
10/4/2001,9881,1427
10/5/2001,10840,1293
10/6/2001,13227,1254
10/7/2001,11338,1605
10/8/2001,9401,1429
10/9/2001,13283,1505
10/10/2001,12592,1682
10/11/2001,11663,1953
10/12/2001,10413,1951
10/13/2001,11237,1992
10/14/2001,10811,1978
10/15/2001,11271,1967
10/16/2001,11339,1934
10/17/2001,11167,1925
10/18/2001,11093,1883
10/19/2001,11404,1860
10/20/2001,11087,1801
10/21/2001,10796,1781
10/22/2001,11686,1948
10/23/2001,12770,1971
10/24/2001,13589,1911
10/25/2001,13487,1896
10/26/2001,13389,2144
10/27/2001,13003,2235
10/28/2001,12780,2234
10/29/2001,12499,2198
10/30/2001,12547,2184
10/31/2001,9883,1893
11/1/2001,10468,2110
11/2/2001,13711,2073
11/3/2001,13764,2145
11/4/2001,13480,2225
11/5/2001,12306,2052
11/6/2001,12514,2094
11/7/2001,12936,2123
11/8/2001,13291,2107
11/9/2001,12336,2122
11/10/2001,13318,2185
11/11/2001,13404,2217
11/12/2001,12800,2150
11/13/2001,12497,1480
11/14/2001,11283,1820
11/15/2001,13764,1896
11/16/2001,15012,1863
11/17/2001,14949,1878
11/18/2001,13650,1981
11/19/2001,14400,2033
11/20/2001,14793,2122
11/21/2001,14429,2203
11/22/2001,14383,2262
11/23/2001,12742,2165
11/24/2001,7443,1859
11/25/2001,13979,1829
11/26/2001,15154,1802
11/27/2001,12797,1647
11/28/2001,13876,1744
11/29/2001,14452,2015
11/30/2001,12335,1772
12/1/2001,12336,1916
12/2/2001,9234,1676
12/3/2001,12958,1931
12/4/2001,15563,2083
12/5/2001,15044,2183
12/6/2001,15973,2405
12/7/2001,11094,1550
12/8/2001,17296,2087
12/9/2001,15134,2027
12/10/2001,16596,2320
12/11/2001,16297,2329
12/12/2001,17450,2633
12/13/2001,17032,2695
12/14/2001,14520,2470
12/15/2001,16124,2442
12/16/2001,16346,2623
12/17/2001,15841,2540
12/18/2001,15776,2576
12/19/2001,15455,2534
12/20/2001,11571,1726
12/21/2001,17048,2453
12/22/2001,16530,2623
12/23/2001,18819,2597
12/24/2001,16287,2444
12/25/2001,16509,2469
12/26/2001,16888,2406
12/27/2001,17246,2489
12/28/2001,16858,2437
12/29/2001,16630,2429
12/30/2001,16358,2309
12/31/2001,15386,1997
1/1/2002,14043,2179
1/2/2002,15728,2111
1/3/2002,15734,2068
1/4/2002,15390,2128
1/5/2002,17074,2081
1/6/2002,16704,2147
1/7/2002,16334,2173
1/8/2002,16657,2246
1/9/2002,16868,2342
1/10/2002,16115,2326
1/11/2002,15408,2332
1/12/2002,14630,2294
1/13/2002,14252,2348
1/14/2002,14827,2256
1/15/2002,16877,2335
1/16/2002,18546,2286
1/17/2002,18086,2330
1/18/2002,18435,2556
1/19/2002,20308,2594
1/20/2002,20148,2534
1/21/2002,20311,2423
1/22/2002,18136,2382
1/23/2002,19082,2375
1/24/2002,17682,2371
1/25/2002,18258,2350
1/26/2002,18666,2332
1/27/2002,22472,2311
1/28/2002,22820,2305
1/29/2002,22397,2351
1/30/2002,22634,2353
1/31/2002,19329,2515
2/1/2002,21891,2435
2/2/2002,20005,2430
2/3/2002,22474,2400
2/4/2002,22045,2253
2/5/2002,23180,2208
2/6/2002,21543,2188
2/7/2002,20356,2163
2/8/2002,23674,2086
2/9/2002,29579,2111
2/10/2002,31240,2301
2/11/2002,31084,2431
2/12/2002,32246,2491
2/13/2002,32355,2596
2/14/2002,33918,2670
2/15/2002,35866,2749
2/16/2002,36085,2801
2/17/2002,37731,2965
2/18/2002,40949,3365
2/19/2002,41724,3566
2/20/2002,45167,3583
2/21/2002,46306,3509
2/22/2002,47029,3630
2/23/2002,47136,3771
2/24/2002,45644,3787
2/25/2002,44220,3718
2/26/2002,41399,3651
2/27/2002,41716,3667
2/28/2002,36482,3514
3/1/2002,44918,3631
3/2/2002,43999,3667
3/3/2002,41687,3533
3/4/2002,41815,3645
3/5/2002,41237,3359
3/6/2002,45510,3719
3/7/2002,47198,3786
3/8/2002,52817,3584
3/9/2002,51813,3627
3/10/2002,53728,4132
3/11/2002,52770,4173
3/12/2002,52654,3823
3/13/2002,46759,3448
3/14/2002,45583,3494
3/15/2002,52426,4403
3/16/2002,48847,4586
3/17/2002,47447,4379
3/18/2002,47645,4154
3/19/2002,48095,4390
3/20/2002,53194,4869
3/21/2002,50080,4502
3/22/2002,50674,4664
3/23/2002,55545,4614
3/24/2002,59587,4817
3/25/2002,57501,4695
3/26/2002,55826,4742
3/27/2002,57023,5038
3/28/2002,62297,5885
3/29/2002,56008,5228
3/30/2002,53468,5203
3/31/2002,45141,5046
4/1/2002,50783,5181
4/2/2002,57799,5087
4/3/2002,51421,5085
4/4/2002,51476,4958
4/5/2002,60365,4869
4/6/2002,48523,4795
4/7/2002,48285,4797
4/8/2002,53610,4920
4/9/2002,57686,5098
4/10/2002,57352,5337
4/11/2002,53821,5290
4/12/2002,51207,5219
4/13/2002,49220,5208
4/14/2002,47951,4852
4/15/2002,43605,4681
4/16/2002,42156,4436
4/17/2002,47048,5104
4/18/2002,51953,5890
4/19/2002,49536,5769
4/20/2002,52055,6338
4/21/2002,51729,6471
4/22/2002,49599,6332
4/23/2002,53443,6942
4/24/2002,51372,7629
4/25/2002,52301,7942
4/26/2002,51753,8105
4/27/2002,51259,8215
4/28/2002,50487,7977
4/29/2002,46143,8611
4/30/2002,44287,9948
5/1/2002,50801,9229
5/2/2002,47613,9068
5/3/2002,45916,8815
5/4/2002,47179,8667
5/5/2002,43761,8515
5/6/2002,43600,8481
5/7/2002,45215,8556
5/8/2002,46924,8710
5/9/2002,48716,9773
5/10/2002,47857,9510
5/11/2002,46967,9145
5/12/2002,47409,9163
5/13/2002,49410,8939
5/14/2002,49166,8766
5/15/2002,48505,9211
5/16/2002,45862,9974
5/17/2002,47694,10026
5/18/2002,48381,10148
5/19/2002,47785,10105
5/20/2002,47183,10075
5/21/2002,45420,10093
5/22/2002,45753,10307
5/23/2002,42996,10181
5/24/2002,41570,10182
5/25/2002,37060,10010
5/26/2002,35835,9916
5/27/2002,37778,9798
5/28/2002,39545,9502
5/29/2002,42189,9956
5/30/2002,42145,9999
5/31/2002,34521,8683
6/1/2002,34919,10051
6/2/2002,34112,9889
6/3/2002,33536,9824
6/4/2002,36588,9952
6/5/2002,40136,9953
6/6/2002,41459,9645
6/7/2002,41940,9288
6/8/2002,35437,7559
6/9/2002,41599,9067
6/10/2002,44189,9821
6/11/2002,42042,10296
6/12/2002,43241,10231
6/13/2002,43496,10277
6/14/2002,42002,10558
6/15/2002,40652,10651
6/16/2002,40147,10837
6/17/2002,39729,10981
6/18/2002,43814,11089
6/19/2002,39971,10767
6/20/2002,36231,10051
6/21/2002,34349,10382
6/22/2002,36612,10810
6/23/2002,35596,10784
6/24/2002,34049,10195
6/25/2002,37085,10733
6/26/2002,37504,10927
6/27/2002,35962,10819
6/28/2002,35077,10163
6/29/2002,35678,10371
6/30/2002,29651,9122
7/1/2002,36419,10145
7/2/2002,34680,9561
7/3/2002,40119,10268
7/4/2002,42276,10632
7/5/2002,41711,11032
7/6/2002,41973,10769
7/7/2002,43547,10444
7/8/2002,38415,10003
7/9/2002,39542,10040
7/10/2002,39649,10297
7/11/2002,41103,10403
7/12/2002,40639,10485
7/13/2002,37332,10270
7/14/2002,36317,10240
7/15/2002,36178,9056
7/16/2002,35842,5858
7/17/2002,32345,4977
7/18/2002,35523,8467
7/19/2002,39466,10022
7/20/2002,41521,10450
7/21/2002,41390,10240
7/22/2002,39846,9736
7/23/2002,35738,9626
7/24/2002,36983,9656
7/25/2002,42007,10001
7/26/2002,39626,10157
7/27/2002,40780,10191
7/28/2002,40687,10469
7/29/2002,43223,10593
7/30/2002,42374,10683
7/31/2002,35066,9239
8/1/2002,41764,10549
8/2/2002,40939,10682
8/3/2002,37054,10657
8/4/2002,36239,10702
8/5/2002,37279,10708
8/6/2002,37390,10699
8/7/2002,38515,10550
8/8/2002,38483,10649
8/9/2002,35775,10766
8/10/2002,32309,10803
8/11/2002,34873,11022
8/12/2002,36842,10999
8/13/2002,40172,11203
8/14/2002,39426,11201
8/15/2002,38428,11395
8/16/2002,39344,11992
8/17/2002,39391,12417
8/18/2002,38110,12487
8/19/2002,37949,11990
8/20/2002,37352,12018
8/21/2002,36279,11342
8/22/2002,36873,11251
8/23/2002,33337,10785
8/24/2002,32171,10574
8/25/2002,31460,10770
8/26/2002,32439,10588
8/27/2002,33880,10895
8/28/2002,34121,11193
8/29/2002,32909,11070
8/30/2002,29062,10661
8/31/2002,35605,11310
9/1/2002,35723,11825
9/2/2002,36719,12270
9/3/2002,36468,11849
9/4/2002,32786,12139
9/5/2002,35021,12009
9/6/2002,40325,11696
9/7/2002,41466,12153
9/8/2002,39986,12268
9/9/2002,45508,11883
9/10/2002,41189,12147
9/11/2002,40024,12350
9/12/2002,40431,12109
9/13/2002,40949,11928
9/14/2002,41797,12771
9/15/2002,41964,13043
9/16/2002,39110,12978
9/17/2002,40988,13193
9/18/2002,45168,13191
9/19/2002,42161,12804
9/20/2002,48057,13022
9/21/2002,48670,13602
9/22/2002,46216,13691
9/23/2002,45875,13918
9/24/2002,41753,12076
9/25/2002,42604,13721
9/26/2002,42935,14001
9/27/2002,42995,13548
9/28/2002,41689,13064
9/29/2002,38655,12730
9/30/2002,34120,12944
10/1/2002,31457,13128
10/2/2002,31771,13006
10/3/2002,34267,12400
10/4/2002,38976,12757
10/5/2002,33463,13237
10/6/2002,33107,13370
10/7/2002,39492,12825
10/8/2002,40212,12783
10/9/2002,38588,12861
10/10/2002,35570,12719
10/11/2002,36533,12904
10/12/2002,34785,12965
10/13/2002,31773,12282
10/14/2002,33682,12511
10/15/2002,34260,12488
10/16/2002,30963,12736
10/17/2002,33100,12948
10/18/2002,34764,13012
10/19/2002,38690,13126
10/20/2002,40724,13128
10/21/2002,39819,12537
10/22/2002,40993,12454
10/23/2002,35854,11567
10/24/2002,34089,12030
10/25/2002,35870,12357
10/26/2002,36198,12507
10/27/2002,33828,12088
10/28/2002,34440,12373
10/29/2002,32191,11994
10/30/2002,33132,11306
10/31/2002,34004,11095
11/1/2002,34495,11599
11/2/2002,33441,11666
11/3/2002,33065,11283
11/4/2002,31758,11407
11/5/2002,34702,11709
11/6/2002,34847,11555
11/7/2002,30841,6224
11/8/2002,34372,11896
11/9/2002,32885,11924
11/10/2002,34269,12391
11/11/2002,34500,12448
11/12/2002,34707,12569
11/13/2002,35398,12262
11/14/2002,35608,12504
11/15/2002,33193,12161
11/16/2002,34020,12175
11/17/2002,34984,12303
11/18/2002,35237,12313
11/19/2002,33389,12352
11/20/2002,33527,12272
11/21/2002,38339,12532
11/22/2002,38271,12385
11/23/2002,38636,12284
11/24/2002,36559,12037
11/25/2002,36544,11134
11/26/2002,36855,11395
11/27/2002,37802,11849
11/28/2002,38070,12688
11/29/2002,37220,12662
11/30/2002,36208,12644
12/1/2002,36436,15119
12/2/2002,36118,14952
12/3/2002,35789,14919
12/4/2002,35127,14585
12/5/2002,36509,14353
12/6/2002,37350,14690
12/7/2002,36828,14952
12/8/2002,36459,14927
12/9/2002,36312,14504
12/10/2002,36373,14127
12/11/2002,35919,14245
12/12/2002,35257,13919
12/13/2002,35501,13778
12/14/2002,35113,13869
12/15/2002,32082,14005
12/16/2002,29567,13089
12/17/2002,31822,12822
12/18/2002,32880,12640
12/19/2002,33408,13489
12/20/2002,34356,14006
12/21/2002,33723,14480
12/22/2002,35463,13870
12/23/2002,35618,14631
12/24/2002,35298,13994
12/25/2002,34197,12908
12/26/2002,35007,14126
12/27/2002,34511,13902
12/28/2002,34226,13505
12/29/2002,33187,13415
12/30/2002,32321,13295
12/31/2002,32262,13197
1/1/2003,30060,13076
1/2/2003,31816,12133
1/3/2003,32547,12555
1/4/2003,34101,13394
1/5/2003,36059,14038
1/6/2003,37057,14917
1/7/2003,36120,15006
1/8/2003,36326,15152
1/9/2003,33585,15066
1/10/2003,33011,14986
1/11/2003,34650,14603
1/12/2003,36920,14687
1/13/2003,36935,13904
1/14/2003,35847,14195
1/15/2003,34149,13854
1/16/2003,33984,14034
1/17/2003,34672,13855
1/18/2003,34944,14305
1/19/2003,32249,14388
1/20/2003,32606,14370
1/21/2003,33099,14794
1/22/2003,32612,15882
1/23/2003,33008,15522
1/24/2003,35182,14982.25
1/25/2003,34051,14908.52
1/26/2003,34905,14561.03
1/27/2003,36326,14846.17
1/28/2003,35529,14615.73
1/29/2003,33512,14802.9
1/30/2003,33839,15113.92
1/31/2003,32812,15191.9
2/1/2003,35860,15440.9
2/2/2003,35640,16200.61
2/3/2003,34624,16993.75
2/4/2003,35009,16829.28
2/5/2003,35158,17053.54
2/6/2003,33130,16619.9
2/7/2003,31710,16005.65
2/8/2003,32537,16682.54
2/9/2003,34393,16205.49
2/10/2003,34535,15417.26
2/11/2003,34531,16228.23
2/12/2003,34886,16741.93
2/13/2003,35234,17087.84
2/14/2003,33633,17503.92
2/15/2003,32833,17378.54
2/16/2003,32948,17387.1
2/17/2003,34021,17747.38
2/18/2003,33644,17623.34
2/19/2003,33320,18058.68
2/20/2003,33029,17979.72
2/21/2003,33969,18428.85
2/22/2003,33624,17950.56
2/23/2003,32990,18610.87
2/24/2003,32285,21026.16
2/25/2003,29747,19623.01
2/26/2003,32047,19058.57
2/27/2003,33396,18257.85
2/28/2003,34485,18324.23
3/1/2003,33281,17870.25
3/2/2003,33935,18138.76
3/3/2003,33758,18123.2
3/4/2003,34041,18164.75
3/5/2003,34430,18245.21
3/6/2003,35688,18395.42
3/7/2003,36150,18505.03
3/8/2003,34784,18345.9
3/9/2003,36199,18851.13
3/10/2003,35443,19003
3/11/2003,35838,19020.82
3/12/2003,35120,18233.14
3/13/2003,30499,18541.04
3/14/2003,32889,18409.97
3/15/2003,35662,18503.79
3/16/2003,34337,18554.01
3/17/2003,33450,18206.61
3/18/2003,32203,17913.74
3/19/2003,31024,17316.37
3/20/2003,30984,17666.96
3/21/2003,32952,18172.43
3/22/2003,33921,17764.78
3/23/2003,34051,18087.36
3/24/2003,32763,17837.08
3/25/2003,27042,16469.67
3/26/2003,30810,17200.6
3/27/2003,34208,18258.52
3/28/2003,33040,18401.71
3/29/2003,32281,18462.09
3/30/2003,32126,18335
3/31/2003,32246,18512.02
4/1/2003,30003,18361.32
4/2/2003,29037,16121.98
4/3/2003,35680,17162.18
4/4/2003,33305,17358.52
4/5/2003,31717,17577.91
4/6/2003,29986,17263.76
4/7/2003,29053,16781.85
4/8/2003,31718,17084.31
4/9/2003,32462,17365.3
4/10/2003,32900,17238.7
4/11/2003,34342,16912.87
4/12/2003,34252,17299.54
4/13/2003,32004,17376.79
4/14/2003,31879,17665.21
4/15/2003,32767,17473.94
4/16/2003,32556,17745.34
4/17/2003,31969,17803.71
4/18/2003,31997,17333.72
4/19/2003,33218,18027.3
4/20/2003,33715,18280.52
4/21/2003,33451,18387.98
4/22/2003,32772,17730.53
4/23/2003,33025,17936.61
4/24/2003,33028,18709.98
4/25/2003,34644,18998.24
4/26/2003,34724,19322.19
4/27/2003,36934,18530.13
4/28/2003,37383,18694.13
4/29/2003,35061,18766.27
4/30/2003,34390,18934.63
5/1/2003,34675,19393.99
5/2/2003,33780,19303.65
5/3/2003,32513,19252.57
5/4/2003,31291,19292.3
5/5/2003,31101,19574.31
5/6/2003,30368,19121.11
5/7/2003,33094,19337.86
5/8/2003,33138,19456.5
5/9/2003,31838,19637.78
5/10/2003,31828,19536.16
5/11/2003,32821,19431.23
5/12/2003,31580,19366.17
5/13/2003,30686,18752.65
5/14/2003,31927,18346.4
5/15/2003,31382,18923.31
5/16/2003,32561,18949.3
5/17/2003,32217,19604.79
5/18/2003,30124,19611.37
5/19/2003,29318,19596.84
5/20/2003,30794,18884.15
5/21/2003,31535,19474.97
5/22/2003,32121,19946.23
5/23/2003,32982,19899.81
5/24/2003,31948,20049.66
5/25/2003,31445,19969.01
5/26/2003,30502,19638.06
5/27/2003,28481,19247.68
5/28/2003,30469,20158.75
5/29/2003,31329,19961.95
5/30/2003,31092,20418.29
5/31/2003,31112,19896.28
6/1/2003,31741,18112.49
6/2/2003,28218,18498.22
6/3/2003,27913,18289.88
6/4/2003,29915,17470.52
6/5/2003,29578,18230.4
6/6/2003,28521,19060.52
6/7/2003,31566,18321.21
6/8/2003,31223,18789.73
6/9/2003,29324,18987.65
6/10/2003,28367,18742.82
6/11/2003,29718,18658
6/12/2003,31220,18890.45
6/13/2003,31201,18909.77
6/14/2003,30772,19072.08
6/15/2003,29122,19167.28
6/16/2003,30167,18857.38
6/17/2003,26952,18078.51
6/18/2003,27254,17441.87
6/19/2003,32061,18465.94
6/20/2003,31103,18620.84
6/21/2003,31345,18359.99
6/22/2003,30799,17670.61
6/23/2003,29792,18678.79
6/24/2003,29927,16841.38
6/25/2003,27616,17752.59
6/26/2003,26669,16866.56
6/27/2003,27018,17636.12
6/28/2003,28383,17630.23
6/29/2003,29739,17354.14
6/30/2003,29577,17351.91
7/1/2003,28359,17212.7
7/2/2003,27813,16343.66
7/3/2003,29202,16953.52
7/4/2003,30344,17811.15
7/5/2003,29319,17894.51
7/6/2003,29126,18020.54
7/7/2003,28333,17902.26
7/8/2003,27779,17847.15
7/9/2003,22200,16377.42
7/10/2003,28492,18354.93
7/11/2003,29207,18089.31
7/12/2003,30938,18064.02
7/13/2003,30750,19194.77
7/14/2003,30501,19515.82
7/15/2003,29580,19795.74
7/16/2003,29144,20165.92
7/17/2003,27124,19916.35
7/18/2003,31045,20330.71
7/19/2003,29025,20153.75
7/20/2003,28165,20191.26
7/21/2003,27977,20231.99
7/22/2003,27753,20966.76
7/23/2003,28199,21007.73
7/24/2003,29024,21218.07
7/25/2003,27951,20503.57
7/26/2003,27485,19791.39
7/27/2003,28605,20752.81
7/28/2003,27019,20828.92
7/29/2003,29516,21293.89
7/30/2003,29491,20227.74
7/31/2003,28331,19985.42
8/1/2003,22398,17209.28
8/2/2003,23828,18196.28
8/3/2003,21562,16599.54
8/4/2003,27395,18806.06
8/5/2003,31404,20530.93
8/6/2003,30746,20965.25
8/7/2003,30665,19743.61
8/8/2003,30963,20432.09
8/9/2003,30451,20281.66
8/10/2003,30041,21016.29
8/11/2003,27057,19736.54
8/12/2003,28432,19991.79
8/13/2003,28445,19931.49
8/14/2003,29637,20266.29
8/15/2003,28929,20152.73
8/16/2003,28327,20411.98
8/17/2003,28968,20675.64
8/18/2003,28201,20591.93
8/19/2003,27415,20289.73
8/20/2003,26972,20199.26
8/21/2003,25955,19925.03
8/22/2003,25749,20207.28
8/23/2003,26550,20620.69
8/24/2003,25993,20791.5
8/25/2003,25474,20485.05
8/26/2003,25535,20239.03
8/27/2003,25733,20734.97
8/28/2003,25191,20917.63
8/29/2003,24166,20713.36
8/30/2003,24488,20399.93
8/31/2003,24566,20538.38
9/1/2003,29749.34,18616.3
9/2/2003,32370.33,18973.03
9/3/2003,33641.92,19940.57
9/4/2003,31734.26,20572.5
9/5/2003,32083.73,20578.5
9/6/2003,30857.73,19749.93
9/7/2003,31031.65,20098.48
9/8/2003,31858.26,20833.18
9/9/2003,30795.2,20690.36
9/10/2003,30530.26,20789.81
9/11/2003,30559.59,21964.71
9/12/2003,31965.92,21948.55
9/13/2003,32108.64,22251.18
9/14/2003,29739.14,21582.79
9/15/2003,29958.91,20813.9
9/16/2003,32040.54,22138.91
9/17/2003,31130.33,21525.22
9/18/2003,32242.74,21121.87
9/19/2003,34554.63,21050.91
9/20/2003,36551.82,22190.32
9/21/2003,36446.52,20993.01
9/22/2003,36982.02,20873.56
9/23/2003,35006.77,22405.05
9/24/2003,33482.29,22064.78
9/25/2003,31523.53,21852.64
9/26/2003,31965.14,21844.69
9/27/2003,31305.88,21797.87
9/28/2003,31358.67,20640.82
9/29/2003,34593.37,21032.37
9/30/2003,33454.29,21320.74
10/1/2003,30577.6,22553.11
10/2/2003,29456.8,20868.92
10/3/2003,34619.38,20975
10/4/2003,33056.51,21948.3
10/5/2003,32118.07,22442
10/6/2003,32003.13,22274.57
10/7/2003,32427.26,22338.25
10/8/2003,33937.16,22630.6
10/9/2003,34343.81,22565.32
10/10/2003,37360.98,22444.8
10/11/2003,37128.53,23079.42
10/12/2003,35998.69,23129.69
10/13/2003,34025.93,22757.17
10/14/2003,35273.39,23043.37
10/15/2003,36270.08,23364.53
10/16/2003,35023.21,22997.98
10/17/2003,33758.35,23057.72
10/18/2003,32857.68,22393.25
10/19/2003,30606.3,22413.1
10/20/2003,30677.66,22373.6
10/21/2003,32930.65,23129.65
10/22/2003,30492.16,23428.41
10/23/2003,29914.16,23383.48
10/24/2003,31277.39,23114.12
10/25/2003,30807.31,22907.55
10/26/2003,30209.91,22213.38
10/27/2003,29290.64,22929.07
10/28/2003,27717.9,22486.87
10/29/2003,32074.86,22268.59
10/30/2003,32415.18,23274.92
10/31/2003,30954.52,23167.91
11/1/2003,31774.13,22091.68
11/2/2003,30858,21324.43
11/3/2003,29751.61,20724.45
11/4/2003,27608.64,20889.8
11/5/2003,26709.23,21447.68
