well,field,source,target,valueSource,value,latest_date
356,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
361,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
366,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
371,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
376,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
381,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
386,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
391,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
396,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
401,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
406,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
411,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
416,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
421,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
426,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
431,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
436,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
441,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
446,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
451,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
456,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
461,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
466,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
471,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
476,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
481,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
486,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
491,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
496,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
501,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
506,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
511,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
516,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
521,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
526,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
531,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
536,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
541,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
546,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
551,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
556,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
561,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
566,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
571,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
576,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
581,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
586,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
591,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
596,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
601,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
606,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
611,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
616,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
621,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
626,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
631,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
636,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
641,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
646,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
651,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
656,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
661,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
666,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
671,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
676,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
681,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
686,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
691,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
696,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
701,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
706,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
711,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
716,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
721,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
726,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
731,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
736,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
741,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
746,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
751,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
756,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
761,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
766,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
771,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
776,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
781,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
786,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
791,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
796,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
801,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
806,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
811,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
816,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
821,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
826,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
3,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
8,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
13,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
18,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
23,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
28,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
33,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
38,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
43,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
48,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
53,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
58,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
63,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
68,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
73,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
78,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
83,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
88,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
93,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
98,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
103,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
108,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
113,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
118,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
123,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
128,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
133,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
138,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
143,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
148,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
153,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
158,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
163,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
168,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
173,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
178,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
183,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
188,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
193,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
198,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
203,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
208,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
213,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
218,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
223,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
228,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
233,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
238,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
243,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
248,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
253,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
258,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
263,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
268,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
273,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
278,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
283,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
288,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
293,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
298,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
303,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
308,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
313,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
318,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
323,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
328,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
333,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
338,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
343,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
348,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
353,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
358,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
363,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
368,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
373,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
378,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
383,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
388,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
393,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
398,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
403,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
408,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
413,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
418,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
423,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
428,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
433,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
438,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
443,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
448,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
453,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
458,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
463,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
468,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
473,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
478,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
483,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
488,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
493,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
498,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
503,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
508,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
513,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
518,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
523,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
528,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
533,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
538,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
543,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
548,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
553,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
558,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
563,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
568,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
573,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
578,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
583,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
588,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
593,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
598,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
603,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
608,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
613,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
618,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
623,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
628,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
633,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
638,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
643,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
648,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
653,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
658,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
663,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
668,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
673,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
678,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
683,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
688,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
693,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
698,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
703,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
708,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
713,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
718,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
723,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
728,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
733,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
738,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
743,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
748,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
753,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
758,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
763,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
768,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
773,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
778,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
783,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
788,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
793,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
798,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
803,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
808,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
813,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
818,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
823,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
828,33,NORTH WEST,ALL,10420.78,297.74,6/25/2017
2,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
7,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
12,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
17,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
22,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
27,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
32,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
37,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
42,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
47,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
52,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
57,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
62,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
67,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
72,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
77,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
82,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
87,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
92,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
97,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
102,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
107,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
112,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
117,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
122,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
127,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
132,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
137,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
142,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
147,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
152,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
157,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
162,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
167,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
172,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
177,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
182,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
187,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
192,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
197,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
202,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
207,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
212,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
217,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
222,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
227,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
232,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
237,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
242,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
247,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
252,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
257,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
262,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
267,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
272,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
277,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
282,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
287,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
292,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
297,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
302,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
307,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
312,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
317,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
322,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
327,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
332,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
337,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
342,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
347,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
352,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
357,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
362,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
367,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
372,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
377,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
382,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
387,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
392,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
397,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
402,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
407,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
412,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
417,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
422,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
427,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
432,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
437,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
442,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
447,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
452,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
457,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
462,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
467,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
472,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
477,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
482,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
487,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
492,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
497,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
502,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
507,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
512,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
517,32,NORTH WEST,ALL,9926.7,283.62,6/25/2017
